losses_train,losses_val
"tensor(19.7203, dtype=torch.float64)","tensor(10.1204, dtype=torch.float64)"
"tensor(12.2820, dtype=torch.float64)","tensor(7.2472, dtype=torch.float64)"
"tensor(8.8571, dtype=torch.float64)","tensor(5.5735, dtype=torch.float64)"
"tensor(7.3079, dtype=torch.float64)","tensor(4.5949, dtype=torch.float64)"
"tensor(5.9969, dtype=torch.float64)","tensor(3.6648, dtype=torch.float64)"
"tensor(5.4649, dtype=torch.float64)","tensor(3.3268, dtype=torch.float64)"
"tensor(4.9159, dtype=torch.float64)","tensor(3.5074, dtype=torch.float64)"
"tensor(4.3599, dtype=torch.float64)","tensor(2.7916, dtype=torch.float64)"
"tensor(4.2671, dtype=torch.float64)","tensor(3.0494, dtype=torch.float64)"
"tensor(3.9114, dtype=torch.float64)","tensor(2.6010, dtype=torch.float64)"
"tensor(3.5837, dtype=torch.float64)","tensor(2.7750, dtype=torch.float64)"
"tensor(3.4863, dtype=torch.float64)","tensor(2.8121, dtype=torch.float64)"
"tensor(3.4120, dtype=torch.float64)","tensor(2.3104, dtype=torch.float64)"
"tensor(3.1606, dtype=torch.float64)","tensor(2.2893, dtype=torch.float64)"
"tensor(2.9448, dtype=torch.float64)","tensor(1.9325, dtype=torch.float64)"
"tensor(2.7503, dtype=torch.float64)","tensor(1.9071, dtype=torch.float64)"
"tensor(2.8994, dtype=torch.float64)","tensor(1.8167, dtype=torch.float64)"
"tensor(2.5055, dtype=torch.float64)","tensor(1.9500, dtype=torch.float64)"
"tensor(2.4306, dtype=torch.float64)","tensor(2.1423, dtype=torch.float64)"
"tensor(2.1427, dtype=torch.float64)","tensor(1.8077, dtype=torch.float64)"
"tensor(2.9216, dtype=torch.float64)","tensor(1.5895, dtype=torch.float64)"
"tensor(2.0693, dtype=torch.float64)","tensor(1.5891, dtype=torch.float64)"
"tensor(2.1652, dtype=torch.float64)","tensor(1.6726, dtype=torch.float64)"
"tensor(1.9555, dtype=torch.float64)","tensor(1.5895, dtype=torch.float64)"
"tensor(1.9490, dtype=torch.float64)","tensor(1.4003, dtype=torch.float64)"
"tensor(2.0528, dtype=torch.float64)","tensor(1.4957, dtype=torch.float64)"
"tensor(1.8112, dtype=torch.float64)","tensor(1.3988, dtype=torch.float64)"
"tensor(1.6529, dtype=torch.float64)","tensor(1.2180, dtype=torch.float64)"
"tensor(1.6486, dtype=torch.float64)","tensor(1.3084, dtype=torch.float64)"
"tensor(1.5686, dtype=torch.float64)","tensor(1.3580, dtype=torch.float64)"
"tensor(1.4838, dtype=torch.float64)","tensor(1.2975, dtype=torch.float64)"
"tensor(1.4476, dtype=torch.float64)","tensor(1.3511, dtype=torch.float64)"
"tensor(1.3242, dtype=torch.float64)","tensor(1.2272, dtype=torch.float64)"
"tensor(1.2939, dtype=torch.float64)","tensor(1.3917, dtype=torch.float64)"
"tensor(1.2971, dtype=torch.float64)","tensor(1.3806, dtype=torch.float64)"
"tensor(1.2456, dtype=torch.float64)","tensor(1.1898, dtype=torch.float64)"
"tensor(1.2357, dtype=torch.float64)","tensor(1.2016, dtype=torch.float64)"
"tensor(1.2728, dtype=torch.float64)","tensor(1.0500, dtype=torch.float64)"
"tensor(1.3672, dtype=torch.float64)","tensor(1.0577, dtype=torch.float64)"
"tensor(1.1378, dtype=torch.float64)","tensor(0.9716, dtype=torch.float64)"
"tensor(1.1307, dtype=torch.float64)","tensor(1.2045, dtype=torch.float64)"
"tensor(1.1372, dtype=torch.float64)","tensor(1.0607, dtype=torch.float64)"
"tensor(1.1498, dtype=torch.float64)","tensor(0.9926, dtype=torch.float64)"
"tensor(1.1027, dtype=torch.float64)","tensor(0.9788, dtype=torch.float64)"
"tensor(1.2992, dtype=torch.float64)","tensor(0.9031, dtype=torch.float64)"
"tensor(0.9489, dtype=torch.float64)","tensor(1.1201, dtype=torch.float64)"
"tensor(1.0676, dtype=torch.float64)","tensor(0.8557, dtype=torch.float64)"
"tensor(1.0059, dtype=torch.float64)","tensor(1.0205, dtype=torch.float64)"
"tensor(1.0801, dtype=torch.float64)","tensor(0.8047, dtype=torch.float64)"
"tensor(0.8976, dtype=torch.float64)","tensor(0.8211, dtype=torch.float64)"
